"Title","Journal","Publication_year","Publication_year.2","statistical.analysis.and.or.simulations","bioinformatic.analysis","additional.comment.on.analysis","analysis_software_names","num.software.calculated","num.software_with_version","num.packages","num.packages_with_version","CodeShared","CodeShared.2","LinktoCode","LocationShared","Repository","FreeSoftware","FreeSoftware.2","DataUsed","DataShared","DataShared.2","ExtraComments","CommentonComments","Screener"
"Mapping ecosystem services potential in Lithuania","INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY",2016,"2015-2016","yes","no","Spearman's correlations, PCA","Statistica",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","yes","yes","CLC2006 based on the CORINE programme from EC","NA","MP, AB"
"Measuring and managing resistance and resilience under climate change in northern Great Lake forests (USA)","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","Used LANDIS-II v6.0 landscape model to simulate forest change with extentions regarding biomass succession and harvest + base fire and wind; diversity analysis using R (Fdis and Bray-Curtis dissimilarity)","LANDIS-II and R",2,"1","3","2","no","no","NA","NA","NA","yes","yes","yes","partially","yes","data from literature: monthly PRISM climate data (Daly and Gibson 2002); monthly downscaled temperature and precipitation projections through the USGS data portal http://cida.usgs.gov/
 climate/gdp/ (Stoner et al. 2012); the IPCC
 climate projections climate data to year 2100","NA","MP, AB"
"Mechanisms driving diversity-productivity relationships differ between exotic and native communities and are affected by gastropod herbivory","OECOLOGIA",2016,"2015-2016","yes","no","Linear mixed models, mixed model","SAS",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","limited data from Figs","NA","MP, AB"
"Model-based Evidence for Cyclic Phenomena in a High-Elevation, Two-Species Forest","ECOSYSTEMS",2016,"2015-2016","yes","no","Used the University of Virginia Forest Model Enhanced(UVAFME); an extension of the individual-based gap model FAREAST (Yan andShugart2005) for simulating forest data","UVAFME",1,"0","NA","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","model parameters in the main text; data on species composition, climate, and site and soil parameters from the SNOTEL Network (NRCS 2014) and the US Forest Service. Daily precipitation
 and temperature conditions in UVAFME are derived from statistical distributions of mean monthly precipitation and temperature from 24 years of weather station data from the site for the period of
 1989 to 2013 (NRCS 2014).","NA","MP, AB"
"Modeling rates of life form cover change in burned and unburned alpine heathland subject to experimental warming (vol 178, pg 615, 2015)","OECOLOGIA",2015,"2015-2016","yes","no","GLMs, multi-level models, bayesian inference, regression coeficients based on Cauchy distribution, Monte Carlo sampling","R and JAGS",2,"2","1","1","yes","yes","https://link.springer.com/article/10.1007/s00442-015-3261-2","supplementary material","NA","yes","yes","yes","no","no","NA","NA","MP, AB"
"Modeling the risk of livestock depredation by jaguar along the Transamazon highway, Brazil","BASIC AND APPLIED ECOLOGY",2015,"2015-2016","yes","no","Spatial modeling of depredation risk, ecological niche factor analysis, maximum entropy, model evaluation using area under the curve (AUC)","Open Modeller and BioMapper and Maxent",3,"3","NA","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","environmental layers to characterize attack sites (http://www.dpi.inpe. br/Ambdata/), distance to forests and to deforested areas (km, http://www.obt.inpe.br/prodes/index.php), distance to roads (km, http://siscom.ibama.gov.br/
 mapas/Novo Flex/), distance to settlements (km,
 http://downloads.ibge.gov.br/downloads geociencias.htm)
 and cattle density (number of animals/km, http://www.
 sidra.ibge.gov.br)","NA","MP, AB"
"Mosquitofish predation and aquatic vegetation determine emergence patterns of dragonfly assemblages","FRESHWATER SCIENCE",2016,"2015-2016","yes","no","ANOVA, ANCOVA, Chi-square, Tukey HSD, Pairwise similarity indices, ANOSIM, cluster analysis (NMDS), permutation analysis","SPSS and R and Primer and PERMDISP",4,"4","NA","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","limited data from Figs","NA","MP, AB"
"Mother knows the best mould: an essential role for non-wood dietary components in the life cycle of a saproxylic scarab beetle","OECOLOGIA",2016,"2015-2016","yes","no","unclear use of 'we modelled'","SAS",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Multi-scale habitat selection modeling: a review and outlook","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","polythetic hierarchical agglomerativeclustering (PAHC) analysis","R",1,"0","NA","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","https://link.springer.com/article/10.1007/s10980-016-0374-x#Sec11. data is shared under the name of Supplementary material 1 (no specific indication that this is data), and this dataset has to be slightly modified for the analysis","NA","AC, AB"
"Multi-scale network analysis shows scale-dependency of significance of individual protected areas for connectivity","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","network analysis, Kolomogorov-Smirnov test, Pearson's correlations, Erdos-Renyi algorithm, eigenvector centrality, network density, node removal technique, regression analysis","R",1,"0","1","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","the South African National Land CoverDataset (NLCD); Cape fynbos endemic birds that play an important pollinating role in the fynbos biome in the Western Cape of South Africa (Birdlife International 2010, Endemic Bird Area factsheet: Cape fynbos. Downloaded from 450 http://www.birdlife.org)","NA","MP, AB"
"Multi-scale prediction of landscape resistance for tiger dispersal in central India","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","Conditional logistic regression","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AST, AB"
"Nest-dwelling ectoparasites reduce antioxidant defences in females and nestlings of a passerine: a field experiment","OECOLOGIA",2015,"2015-2016","yes","no","Mann-Whitney U-test, GLMs, t-test, Partial Eta Squared","Statistica and GPower",2,"2","NA","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","MP, AB"
"Niche segregation between immature and adult seabirds: does progressive maturation play a role?","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","GLMs, likelihood ratio tests","R",1,"0","NA","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","MP, AB"
"Niche-based host extinction increases prevalence of an environmentally acquired pathogen","OIKOS",2016,"2015-2016","yes","no","the quantitative framework proposed
 by Ulrich and Gotell (test for non-randomness), Z-test, GLMs, Kolgomorov-Smirnov's test","R and Turnover",2,"0","NA","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","link for software Turnover <www.keib.umk.pl/> is not working","NA","MP, AB"
"Not leaving home: grandmothers and male dispersal in a duolocal human society","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","event history analysis (EHA), relogit regression, Mann-Whitney U-test, chi-square test","STATA and SPSS",2,"2","NA","NA","no","no","NA","NA","NA","no","no","yes","partially","yes","limited data from Figs and Tables","NA","MP, AB"
"Optimal age of maturity in fluctuating environments under r- and K-selection","OIKOS",2016,"2015-2016","yes","no","NA","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","no","NA","NA","used simulations","NA","MP, AB"
"Organic-matter decomposition along a temperature gradient in a forested headwater stream","FRESHWATER SCIENCE",2016,"2015-2016","yes","no","repeated measures(rm) ANCOVA, 2-way ANCOVA, 2-way rmANCOVAs, 1-way rmANCOVA, Pearson's correlation, regression analyisis","SYSTAT",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","limited data from Figs","NA","MP, AB"
"Past agricultural land use and present-day fire regimes can interact to determine the nature of seed predation","OECOLOGIA",2016,"2015-2016","yes","no","generalized linear mixed models, mixed-model ANOVA, Kenward-Roger approximation, PCA","R and SAS",2,"0","NA","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","AST, AB"
"Past and predicted future effects of housing growth on open space conservation opportunity areas and habitat connectivity around National Wildlife Refuges","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","NA, geospatial analysis","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","partially","yes","data on refuges from the USFWS cadastral database, housing data from the U.S. Census Bureau","NA","MP, AB"
"Plant population and genotype effects override the effects of Epichloe endophyte species on growth and drought stress response of Achnatherum robustum plants in two natural grass populations","JOURNAL OF PLANT ECOLOGY",2015,"2015-2016","yes","no","ANOVAs","SYSTAT",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","limited data from Figs","NA","MP, AB"
"Plant-available silicon in paddy soils as a key factor for sustainable rice production in Southeast Asia","BASIC AND APPLIED ECOLOGY",2015,"2015-2016","yes","no","Kruskal-Wallis one-way analysis, Wilcoxon-Mann-Whitney test","Statistica",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","limited data from Figs","NA","MP, AB"
"Population limitation in a non-cyclic arctic fox population in a changing climate","OECOLOGIA",2016,"2015-2016","yes","no","Pearson's correlation, PCA, linear mixed model, chi-sq test","R",1,"0","NA","NA","no","no","NA","NA","NA","yes","yes","yes","partially","yes","Data on population size of pink-footed goose
 Anser brachyrhynchus (Baillon) are counts obtained by the Wildfowl and Wetlands Trust and the Joint Nature Conservation
 Committee, 
 Ppulation indices provided by the British Trust for Ornithology (BTO) (http://www.bto.org/volunteer-surveys/webs, March 2007)
 Data on sheep numbers were obtained from Arnalds and
 Barkarson (2003) and Statistics Iceland (2006)
 The annual NAO index (retrieved 2008 from
 https://climatedataguide.ucar.edu/climate-data/hurrell-north-atlantic-oscillation-nao-index-station-based), and the SPG index (Hátún et al.2005)","NA","MP, AB"
"Predation Threat Alters Composition and Functioning of Bromeliad Ecosystems","ECOSYSTEMS",2015,"2015-2016","yes","no","PERMANOVA and post-hoc pariwise comparisons, multidimenisional scaling (MDS), ANOVAs, Tukex's test, bootstrap methods","R",1,"0","1","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data are available on the Knowledge Network for Biocomplexity (http://knb.ecoinformatics.org/knb/metacat/knb.302.1/knb).","NA","MP, AB"
"Quantification of Ant Manure Deposition in a Tropical Agroecosystem: Implications for Host Plant Nitrogen Acquisition","ECOSYSTEMS",2015,"2015-2016","yes","no","likelihood ratio test, hierarchical linear mixed models, pairwise comparisons","R",1,"0","NA","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","MP, AB"
"Quantifying spatiotemporal pattern of urban greenspace: new insights from high resolution data","LANDSCAPE ECOLOGY",2015,"2015-2016","yes","no","geospatial analysis","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","Remote sensing data (MODIS NOAA-AVHRR SPOT4-VGT; Landsat TM/ETM+ ASTER; SPOT % IKONOS QUICKBIRD)","NA","MP, AB"
"Regurgitation of the koilin layer in chinstrap penguins (Pygoscelis antarcticus) and its association with gastric parasites","POLAR RESEARCH",2016,"2015-2016","yes","no","Descriptive, prevalence (proportion of koilins containing parasites) and the mean intensity (average number of parasites in each koilin containing parasites) with standard deviations, range and 95% confidence intervals (CIs) were calculated using the Clopper-Pearson interval (for prevalence) and 2000 bootstrap replications (for mean inten-
 sity)","SigmaPlot and QP Software",2,"2","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","MP, AB"
"Retesting a prediction of the River Continuum Concept: autochthonous versus allochthonous resources in the diets of invertebrates","FRESHWATER SCIENCE",2016,"2015-2016","yes","no","ANOVA","SYSTAT",1,"0","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AST, AB"
"Salinity and disturbance mediate direct and indirect plant-plant interactions in an assembled marsh community","OECOLOGIA",2016,"2015-2016","yes","no","ANOVA, Tukey's HSD test, relative neighbour effect (RNE), linear regression","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","limited data from Figs","NA","MP, AB"
"Scale dependence of felid predation risk: identifying predictors of livestock kills by tiger and leopard in Bhutan","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","Jacobs’ index D, univariate and multivariate MaxEnt (v.3.3.3k) models, AUC","Maxent",1,"1","NA","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data sources listed in Table 1","NA","MP, AB"
"Seasonal and temporal changes in species use of the landscape: how do they impact the inferences from multi-scale habitat modeling?","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","univariate logistic regression models, multi-scale models, AUC","R",1,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data sources listed in Table 1","NA","MP, AB"
"Seasonal Water Column NH4 (+) Cycling Along a Semi-arid Sub-tropical River-Estuary Continuum: Responses to Episodic Events and Drought Conditions","ECOSYSTEMS",2015,"2015-2016","yes","no","Kolmogorov–Smirnov test, rmANOVA, Tukey's HSD test","SYSTAT",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","partially","yes","Part of data used for analysis is presented in Table 1","NA","MP, AB"
"Selection for multicomponent mimicry: equal feature salience and variation in preferred traits","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","logistic regression","R",1,"0","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","analysis_software_names assigned as R even though R is not mentioned, but we could infer it because under Table 2 the authors refer to the lme4 package (it's in R). Neither Rstudio nor lme4 are cited nor listed in References.","I would assign R to analysis_software_names despite not being named explicitly but add a comment saying so. That way we are a bit more conservative in our approach. I have implemented these suggested changes.","MP, AST"
"Shifts in community leaf functional traits are related to litter decomposition along a secondary forest succession series in subtropical China","JOURNAL OF PLANT ECOLOGY",2015,"2015-2016","yes","no","CWM (community mean traits) calculation, multiple regression analysis, PCA","R",1,"1","3","2","no","no","NA","NA","NA","yes","yes","yes","partially","yes","Information on the plot specific CWMs as well as on plot age and species richness in SI https://academic.oup.com/jpe/article/8/4/401/941732","NA","MP, AB"
"Silent listeners: can preferences of eavesdropping midges predict their hosts' parasitism risk?","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","Kolmogorov-Smirnov test, Levene's test, Wilcoxon matched pairs test, ANOVA, linear model","R",1,"0","4","2","no","no","NA","NA","NA","yes","yes","yes","no","no","limited data from Figs","NA","MP, AB"
"Size-dependent response of tropical wetland fish communities to changes in vegetation cover and habitat connectivity","LANDSCAPE ECOLOGY",2015,"2015-2016","yes","no","Kruskal-Wallis test, GAMLSS (generalized aditive model for location, scale and shape), GLMs, GAMs","R",1,"1","4","3","no","no","NA","NA","NA","yes","yes","yes","partially","yes","limited data from Figs, Tables and SI https://link.springer.com/article/10.1007/s10980-015-0196-2","NA","MP, AB"
"Soil microbial community structure and activity in a 100-year-old fertilization and crop rotation experiment","JOURNAL OF PLANT ECOLOGY",2015,"2015-2016","yes","no","log transformation, PCA, RDA","Canoco and SAS",2,"0","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AST, AB"
"Soil phosphorus predicts feral pig (Sus scrofa) occupancy, detection probability and feeding activity in a temperate montane rainforest","WILDLIFE RESEARCH",2016,"2015-2016","yes","no","NMDS, cluster analysis, SIMPER analysis, Pearson's correlation, logistic regression, multiseason model, Akaike model weights","Primer and PRESENCE and R",3,"1","NA","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","MP, AB"
"Song adjustments by an open habitat bird to anthropogenic noise, urban structure, and vegetation","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","k-means cluster anaylsis, multiple linear regression, likelihood ratio tests, correlation analysis, Brown-Forsythe test","R",1,"1","NA","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","limited data from Figs","NA","MP, AB"
"Space use by female agile antechinus: are teat number and home-range size linked?","WILDLIFE RESEARCH",2016,"2015-2016","yes","no","GLMs, parametric and non-parametric ANOVA, MDS, Mann-Whitney U test","SYSTAT and Primer and R",3,"3","NA","NA","no","no","NA","NA","NA","partially","yes","yes","partially","yes","limited data from Figs and Tables","NA","MP, AB"
"Spatial patterns of cultural ecosystem services provision in Southern Patagonia","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","detrended correspondence analysis (DCA), redundancy analysis (RDA), Monte Carlo permutation test","PC-ORD",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","partially","yes","Data sources listed in Table 1","NA","MP, AB"
"Survey data matter: predicted niche of adult vs breeding Odonata","FRESHWATER SCIENCE",2015,"2015-2016","yes","no","Ecological niche modeling","Maxent",1,"1","NA","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","can't access SI https://www.journals.uchicago.edu/doi/suppl/10.1086/682676","NA","MP, AB"
"Survival and local recruitment are driven by environmental carry-over effects from the wintering area in a migratory seabird","OECOLOGIA",2015,"2015-2016","yes","no","multi-state models, goodness-of-fit tests (U-CARE, JMV), covariate models, analysis of deviance (ANODEV)","MARK",1,"1","NA","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Data sources listed in Table 1","NA","MP, AB"
"Temperature can shape a cline in polyandry, but only genetic variation can sustain it over time","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","ANOVA,logistic regression","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","partially","yes","limited data from Figs and SI https://academic.oup.com/beheco/article/27/2/462/2196539?login=true","NA","MP, AB"
"Temperature Dependence of Soil Respiration Modulated by Thresholds in Soil Water Availability Across European Shrubland Ecosystems","ECOSYSTEMS",2016,"2015-2016","yes","no","linear regression, non-linear least squares regression, AICc, MC simulation","R",1,"0","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AST, AB"
"The aggressive personality of an introduced fish affects foraging behavior in a polymorphic newt","BEHAVIORAL ECOLOGY",2015,"2015-2016","yes","no","GLMM, LRT, Tukey test, GLM, LMM, F-test","R",1,"1","3","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AST, AB"
"The allometry of reproductive allocation in a Chloris virgata population in response to simulated atmospheric nitrogen deposition","BASIC AND APPLIED ECOLOGY",2016,"2015-2016","yes","no","One-way ANOVA, LSD test, SMA regression","SPSS and SMATR",2,"1","0","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","Although the authors called SMATR a software package, it does not seem to be a package but a stand-along software. AST originally thought SMATR was not free, but it is: https://github.com/dfalster/smatr/","NA","AST, AB"
"The compositional and configurational heterogeneity of matrix habitats shape woodland carabid communities in wooded-agricultural landscapes","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","Direct gradient analyses, variation partitioning, response trait analyses, pCCA, pIFS, MC permutations, VIF, correlation, PCNM","Canoco",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","Only software reported in the stastistical section were considerd statistical software","NA","AST, AB"
"The demographic consequences of mutualism: ants increase host-plant fruit production but not population growth","OECOLOGIA",2015,"2015-2016","yes","no","AICc, correlation, non-parametric bootstrapping, integral projection models, simulations, ML, GLM, LM","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","AB could not find the software used","NA","AST, AB"
"The effectiveness and cost of camera traps for surveying small reptiles and critical weight range mammals: a comparison with labour-intensive complementary methods","WILDLIFE RESEARCH",2015,"2015-2016","yes","no","GLMM","R",1,"1","3","2","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AST, AB"
"The genetics of chutes and ladders: a community genetics approach to tritrophic interactions","OIKOS",2016,"2015-2016","yes","no","LMM, LRT, GLMM, correlation, AIC, stepwise model selection, regression models","R",1,"0","3","3","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AST, AB"
"The impact of sheep grazing on the depth of spider burrows and of burrows selected by the pygmy bluetongue lizard (Tiliqua adelaidensis)","WILDLIFE RESEARCH",2016,"2015-2016","yes","no","repeated-measures ANOVA, two-way ANOVA, Mauchlys test","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AST, AB"
"The indirect effects of climate variability on the reproductive dynamics and productivity of an avian predator in the arid Southwest","OECOLOGIA",2016,"2015-2016","yes","no","AIC, correlation, one-way ANOVA, Tukey test, Kruskal-Wallis ANOVA, Mann-Whitney test, Wilcoxon test, LM","R and MARK",2,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AST, AB"
"The KDE plus software: a tool for effective identification and ranking of animal-vehicle collision hotspots along networks","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","KDE method, MC simulations","KDE+ In Java",1,"1","2","0","yes","yes","http://www.kdeplus.cz/cz/","website","NA","yes","yes","yes","no","no","the KDE+ software is a free-standing java script. I was unsure if #software_with_version should be 0, 1 or NA. One could argue that this is likely the first version given that they are presenting the software in this paper, plus they report that they use Java 7, so I decided to consider it as 1. AB originally considered it as stats no. AST unsure if stats should be yes, but the KDE+ software seems to run some sort of simulations, so we decided to say yes for the stats.","NA","AST, AB"
"The priming effect of soluble carbon inputs in organic and mineral soils from a temperate forest","OECOLOGIA",2015,"2015-2016","yes","no","t test, repeated-measures ANOVA, two-way ANOVA","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","AB seemingly mixed up statistical.analysis.or/and.simulations and bioinformatic.analysis and said no and yes, respectively. Fixed now.","NA","AST, AB"
"The relative influence of forest loss and fragmentation on insectivorous bats: does the type of matrix matter?","LANDSCAPE ECOLOGY",2015,"2015-2016","yes","no","correlation, ANCOVA, GLM, DFA, Shapiro-Wilk test, Kruskal-Wallis test,","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","AB originally had DataUsed as NA. Fixed now.","NA","AST, AB"
"The role of serotonin in the modulation of cooperative behavior","BEHAVIORAL ECOLOGY",2015,"2015-2016","yes","no","Mann-Whitney test","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AST, AB"
"The significance of geosystem and landscape concepts for the assessment of ecosystem services: exemplified in a case study in Russia","LANDSCAPE ECOLOGY",2015,"2015-2016","yes","no","correlation","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AST, AB"
"The stress of growing old: sex- and season-specific effects of age on allostatic load in wild grey mouse lemurs","OECOLOGIA",2015,"2015-2016","yes","no","backward model selection, LMM","R",1,"1","2","2","no","no","NA","NA","NA","yes","yes","yes","no","no","AB originally had bioinformatic.analysis as yes to. Fixed now.","NA","AST, AB"
"The synergistic effect of density stress during the maternal period and adulthood on immune traits of root vole (Microtus oeconomus) individuals-a field experiment","OECOLOGIA",2016,"2015-2016","yes","no","Poisson distribution, GLMM, binary logistic regression, correlation","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AST, AB"
"The temperature regimes of dry-season waterholes in tropical northern Australia: potential effects on fish refugia","FRESHWATER SCIENCE",2015,"2015-2016","yes","no","regression, simulations","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","AST had FreeSoftware as no. Fixed now. AB originally had DataUsed as NA. Fixed now.","NA","AST, AB"
"Trade-offs in lactation and milk intake by competing siblings in a fluctuating environment","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","survival analysis, Mantel test, t test, LMM,Jonckheere–Terpstra test, Haytor–Stone post hoc multiple comparisons, correlation, Wilcoxon test, Mann-Whitney test, MC simulations, power analyses","R and SYSTAT and StatXact and One-Stop-Calculator",4,"4","3","3","no","no","NA","NA","NA","partially","yes","yes","yes","yes","link to data https://doi.org/10.5061/dryad.0m068; although the authors said to run ""mixed-effects general linear model (GLM)"", I believe they ran LMM; the authors also use the One-Stop-Calculator which is free and does not seem to have any versioning that is why I consider it as if the version was provided. AB originally missed the One-Stop-Calculator software as well as the shared data. Fixed now.","NA","AST, AB"
"Trait-based and phylogenetic associations between parasites and their hosts: a case study with small mammals and fleas in the Palearctic","OIKOS",2016,"2015-2016","yes","no","ESLPT analysis, RLQ analysis, correlations, root-skewness test, CA, PCoA, factorial analyses","R",1,"0","3","1","partially","yes","https://doi.org/10.1111/j.1365-2745.2010.01743.x; https://doi.org/10.1111/ecog.00915","supplementary material","NA","yes","yes","yes","no","no","Detailed R code for the ESLPT analysis can be found in supplementary material of the following publication: https://doi.org/10.1111/j.1365-2745.2010.01743.x; and an example of the annotated R code is available from the supplementary material of the following publication https://doi.org/10.1111/ecog.00915. Despite so, I believe not all code is provided (e.g. that for the correlations). There is some sort of data shared, or what it looks like, but I don't think it is raw data or even complete. AB originally thought there was no code shared. Fixed now.","NA","AST, AB"
"Tree diversity alters the structure of a tri-trophic network in a biodiversity experiment","OIKOS",2015,"2015-2016","yes","no","simulations, p-values from simulations, networks","R",1,"1","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AST, AB"
"Turbidity weakens selection for assortment in body size in groups","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","binomial test, Wald method, proportion test, GLMM, Wilcox test, LMM","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","no packages reported, but they should have been given that the authors ran mixed models","NA","AST, AB"
"Ultraviolet-B-induced DNA damage and ultraviolet-B tolerance mechanisms in species with different functional groups coexisting in subalpine moorlands","OECOLOGIA",2016,"2015-2016","yes","no","hierarchical cluster analysis, GLMM, stepwise multiple regression","SAS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","AB originally had bioinformatic.analysis as yes to. Fixed now.","NA","AST, AB"
"Using site-occupancy models to prepare for the spread of chytridiomyosis and identify factors affecting detectability of a cryptic susceptible species, the Tasmanian tree frog","WILDLIFE RESEARCH",2015,"2015-2016","yes","no","modelling, AIC","PRESENCE",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AST, AB"
"Variation in seed dispersal effectiveness: the redundancy of consequences in diversified tropical frugivore assemblages","OIKOS",2016,"2015-2016","yes","no","bootstrapping, correlation, multiple regression, linear regression","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","link to data https://doi.org/10.5061/dryad.3k8h7","NA","AST, AB"
"Weak olfaction increases seed scatter-hoarding by Siberian chipmunks: implication in shaping plant-animal interactions","OIKOS",2016,"2015-2016","yes","no","one-way ANOVA, GLM","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","the correct doi to where the data should be is https://doi.org/10.5061/dryad.c1d09. There is, however, no raw data, only summary stastitics and some plots","NA","AST, AB"
"What is an apex predator?","OIKOS",2015,"2015-2016","yes","no","PCA, regression, logistic regression, Davies test","SPSS",1,"0","1","0","no","no","NA","NA","NA","no","no","yes","no","no","AST had R as software and freesoftware yes. Fixed now.","NA","AST, AB"
"Who cares? Experimental attention biases provide new insights into a mammalian sexual signal","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","linear mixed model, Kruskal–Wallis test,  χ2 goodness-of-fit","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AST, AB"
"Why fly the extra mile? Using stress biomarkers to assess wintering habitat quality in migratory shorebirds","OECOLOGIA",2016,"2015-2016","yes","no","linear models, non-parametric Kruskal Wallis test, Chi-squared test","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AST, AB"
"Winter durability of pygmy bluetongue lizard burrows is higher for occupied than for unoccupied burrows and for those in less-grazed neighbourhoods","WILDLIFE RESEARCH",2016,"2015-2016","yes","no","logistic regression, AIC, repeated-measures ANOVA","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AST, AB"
"Zooplankton eat what they need: copepod selective feeding and potential consequences for marine systems","OIKOS",2016,"2015-2016","yes","no","multiple regression (stepwise, bidirectional) analysis","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AST, AB"
"A comparison of unmanned aerial vehicles (drones) and manned helicopters for monitoring macropod populations","WILDLIFE RESEARCH",2018,"2018-2019","yes","no","Students t-test, a log-likelihood ratio test (G-test).  Five detection function models were considered: a uniform key function, plus either a cosine or simple polynomial series expansion; a half-normal key function, plus either a cosine or a Hermite polynomial series expansion; and a hazard-rate key function, plus a cosine series expansion","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","Animal density was calculated by conventional distance sampling methods using DISTANCE 6.0","NA","AC, AB"
