Coder initials:,id,Please flag any of the following issues that prevent you from coding this article:,What is the 2016 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?,How many times has the article been cited in a meta-analysis?,How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,eid,year,jnl,vol,iss,page,artno,title,doi,subjectArea,cites,abstract,journal,language,ASJC,KBclassification
SC/TH,mxRqG,There are no issues,0.814,0.433,Hong Kong,Human,Empirical data - multiple study types are reported,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84906346943,2014,Teach. High. Educ.,19,8,966,NA,Struggling to handle teaching and research: A study on academic work at select universities in the Chinese Mainland,10.1080/13562517.2014.945161,Education,4,"In order to raise the international reputation and quality of higher education in China, the Ministry of Education initiated new university employment reform, which pressed academics to produce more research. Recent employment reform has aggravated the conflict between teaching and research. This study uses mixed methods to investigate how academics perceived the employment reform and how they employed various strategies to handle teaching and research. Our study indicates a trend of deprofessionalization in academic work and an increasing tension between teaching and research. Handling teaching and research required a strong and conscientious effort on the part of academics. Concerted efforts should be made to offer a more supportive environment for academics to balance teaching and research. ¬© 2014 ¬© 2014 Taylor & Francis.",Teaching in Higher Education,eng,SOC,LightOrange
MK/TH,mZdyP,There are no issues,NA,NA,Tunisia,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84979796573,2014,Int. J. Econ. Financ. Issues,4,2,353,NA,Can bank be a cause of contagion during the global financial crisis?,NA,"Economics, Econometrics and Finance (all)",0,"© 2014 Econjournals. All rights reserved. This paper examines whether the bank can be a cause of contagion during the global financial crisis. This paper utilizes a Dynamic Conditional Correlation Model to examine the financial contagion phenomenon following the recent financial crisis. This model, which is already developed by Engle (2002) as a novel specification of multivariate models’ conditional correlations, allows tracking the correlation progress between two assets. Our sample consists of six developed countries, including the American market where the crisis started. Data frequencies are on a weekly basis reflecting between the period January 2006 and December 2011. Overall, the empirical evidence indicates that the past return shocks emanating from the banking sector have a significant impact not only on aggregate stock markets, but also on their prices, suggesting that bank can be a major source of contagion during the crisis.",International Journal of Economics and Financial Issues,eng,ECON,LightOrange
SC/TH,NanhK,I cannot access the full text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85016397713,2016,Comun. Soc.,2016,3,412,NA,"One story, two media strategies and intended audiences in Italian productions for cinema and television",NA,Cultural Studies,0,"¬© 2016 Vita e Pensiero. In the long history of the enduring connection between Italian cinema and national television, recent years have brought several new developments. Due to the economic crisis, and hence a quest for creative and production methods to achieve greater return at lower cost, the 'border' between film and TV has become the arena for several textual and productive experiments, with varying degrees of success, contributing to the foundations of a new model. On the one hand, television is 'serializing' stories that were successes at the cinema presenting them as sequels or reinterpreting the original story in a different way. This trend is exemplified by several premium fictions associated with pay operator Sky Italia, as Romanzo criminale and Gomorra/Gomorrah, or the Netflix project Suburra. On the other hand, forms of actual 'joint production' for both film and TV are starting to emerge, representing not merely a desire to spread content over several TV slots, but also the wish (and need) to envisage a dual outlet for a text right from the time of writing and production. Two separate objects are planned and prepared from the outset, as in the case of Tutta colpa di Freud or Chiamatemi Francesco/Call Me Francesco, forcing the writing and production routines to adapt and take due account of the specific traits of the two media, and of their target audiences. Through interviews with professionals, viewing figures and promotional materials, it is possible to identify the motives behind these projects, the modifications in their production routines, and how concepts like taste, success and quality are being reformulated in such a scenario.",Comunicazioni Sociali,eng,AH SOC,LightOrange
TB/TH,NEUGe,There are no issues,1.476,1.476,Macau,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"The authors are grateful for financial support from the University of Macau 
via  two  research  grants,  MYRG2015-00052-FED  and  MYRG2015-00002- 
FSS",No - could not access article other than through paywall,84976415376,2016,Chin. Sociol. Rev.,48,3,248,NA,Social Segregation in Hong Kong’s Schools: 2000–2012,10.1080/21620555.2016.1166340,Gender Studies,1,"¬© 2016, Copyright ¬© Taylor & Francis Group, LLC. Abstract: This article examines the distribution of students from various socioeconomic backgrounds across secondary schools in Hong Kong. Using data from the Program for International Student Assessment over the past decade, we computed axionomical indices of social segregation for 15-year-old students. The degree of social segregation in Hong Kong is compared with three other Chinese societies: Macau, Taiwan, and Shanghai. We found that social segregation steadily increased during 2000‚Äì2012. Hong Kong has the highest level of social segregation in schools among the four regions. The degree of segregation remains relatively stable among the top and bottom student socioeconomic status (SES) groups while substantially spread out among middle SES groups. Two factors were found to drive social segregation: gentrification of elite private schools, and the creation of semi-private schools for the upper middle class. Our findings suggest increasingly dividing education experiences among Hong Kong‚Äôs youth.",Chinese Sociological Review,eng,SOC,LightOrange
TB/TH,nFkyK,There are no issues,3.179,3.162,Australia,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"The Australian Research Council Discovery Grant, contract grant number: DP120100369, supported this research",Yes - found via Open Access Button,84909578346,2014,J. Res. Sci. Teach.,51,10,1301,NA,Emotional climate and high quality learning experiences in science teacher education,10.1002/tea.21170,Education,12,"¬© 2014 Wiley Periodicals, Inc.The role of emotion during learning encounters in science teacher education is under-researched and under-theorized. In this case study, we explore the emotional climates (ECs), that is, the collective states of emotional arousal, of a preservice secondary science education class to illuminate practice for producing and reproducing high quality learning experiences for preservice science teachers. Theories related to the sociology of emotions informed our analyses from data sources such as preservice teachers' perceptions of the EC of their class, emotional facial expressions, classroom conversations, and cogenerative dialogue. The major outcome from our analyses was that even though preservice teachers reported high positive EC during the professor's science demonstrations, they also valued the professor's in the moment reflections on her teaching that were associated with low EC ratings. We co-relate EC data and preservice teachers' comments during cogenerative dialogue to expand our understanding of high quality experiences and EC in science teacher education. Our study also contributes refinements to research perspectives on EC.",Journal of Research in Science Teaching,eng,SOC,LightOrange
JW/TH,NKSNL,There are no issues,NA,NA,Ireland,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,I am grateful to the Irish Research Council for funding this research,Yes - found article via other means,85016161869,2014,Ir. Geogr.,47,1,33,NA,"Food risk in Ireland: Consumer perceptions, trust and dependence",NA,"Geography, Planning and Development",1,"© 2014, Geographical Society of Ireland. All rights reserved.It has long been acknowledged that consumer confidence, risk consciousness and consumption behaviours alter in times of food crisis, often influenced by the significant media attention given to such issues. What is less apparent, however, is how consumers conceptualise, respond to and mitigate food risk in everyday, non-crisis scenarios. Drawing on empirical research conducted with consumers across the Republic of Ireland, this paper addresses this gap by examining how consumers assess and perceive food risk outside of the specific conditions created by major food scares such as BSE. Unpacking results from eight consumer focus groups, several themes are explored in this regard relating to everyday consumer perceptions, awareness, experiences, expectations and connectivity with food risk. Providing conceptual and empirical insights, this includes exploration of themes concerning: (1) food risk consciousness and the presence of a variegated food risk society; (2) perceptions of risk coming from the ‘outside’ into Ireland and related spatiality of trust; and (3) differences between consumer food risk beliefs and practices. Unpacking the conundrum of low consumer awareness of risk in the face of increasingly risky and complex contemporary food chains, this paper is relevant to food practitioners, policymakers and scholars alike. It demonstrates the value of including consumer opinion in food risk regulatory agendas to increase transparency, accountability and trust in food governance systems. The need for increased consumer reflection on food risk is also proffered, linking this with broader requirements to challenge prevailing risky food provisioning systems.",Irish Geography,eng,SOC,LightOrange
SC/TH,NSeqw,There are no issues,1.278,1.056,Australia,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84948947869,2015,Secur. Stud.,24,4,696,NA,Reassessing hedging: The logic of alignment in east Asia,10.1080/09636412.2015.1103130,Sociology and Political Science,9,"¬© Taylor & Francis Group, LLC.It is widely claimed that secondary states across East Asia are not purely balancing or bandwagoning, but rather hedging between the United States and China by combining policies of economic and political engagement with risk management. We argue that hedging behavior should not include costless activities that do not require states to face trade-offs in their security choices. We redefine hedging as signaling that generates ambiguity over the extent of a secondary state‚Äôs shared security interests with great powers. This definition returns the focus to security relationships and better accounts for the trade-offbetween autonomy and alignment. Based on this definition, we argue that hedging occurs in far narrower (but arguably more interesting) circumstances than is widely believed. Many Asian states have existing treaty alliances with the United States or major territorial conflicts with China, creating path dependencies that reinforce balancing behavior rather than hedging. We therefore clarify cross-national variation in state behavior and contribute to the larger research project on regional responses to China‚Äôs rise.",Security Studies,eng,SOC,LightOrange
JW/TH,Nywgm,There are no issues,NA,NA,Japan,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found via Open Access Button,84961618685,2016,Int. J. Jpn. Sociol.,25,1,54,NA,Hesitant Madams in a Global City: Japanese Expat Wives and their Global Householding in Hong Kong,10.1111/ijjs.12047,Sociology and Political Science,0,"© 2016 The Japan Sociological Society. Care work, once a sanctioned labor of love, is increasingly commodified in transnational contexts. The picture of migrant women shouldering the housework and child care of local professonal women may seem like a mutually beneficial arrangement-matching the ""needs"" of the haves and have-nots-, but the global care chain ultimately works to maintain the traditional gendered division of labor as well as global inequality. To this trend of globalization of care work, Japan has been an exception; however, how much longer it will be so is now in a question, as the government paves the way for importing domestic labor from abroad. This article focuses on Japanese expat wives in Hong Kong in order to locate Japanese women vis-à-vis the global care chain. The narrative analysis on how they decide whether to hire a domestic worker in their home away from home highlights the sociopolitical nature of their supposedly private choices. Some drew on cultural ideal of wifehood and motherhood to rationalize their choice while others referred to racialized or even overtly racist and classist images of foreign domestic workers. A few women spoke against the system itself, showing awareness of its inherent social injustice. All such narratives are never purely personal; their decisions and the rationalization behind them sustain the prevailing discourses of gender, race, ethnicity, culture, and class, which, in turn, envelop their attempts at global householding.",International Journal of Japanese Sociology,eng,SOC,LightOrange
TB/TH,ObBpF,There are no issues,1.324,1.504,Sweden,Neither,Empirical data - multiple study types are reported,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,No potential conflict of interest was reported by the authors,Yes - the statement says that there was funding from a public organization,The  empirical  data  used  in  the  article  emanate  from  the  larger  research  project  ‘Inclusive  and  Competitive? Working in the Intersection between Social Inclusion and Marketisation in Upper Secondary School’ (No. 721-2011-5509) financed by the Swedish Research Council.,No - could not access article other than through paywall,84946600934,2017,Br. J. Sociol. Educ.,38,4,518,NA,Pedagogic identities for sale! Segregation and homogenization in Swedish upper secondary school,10.1080/01425692.2015.1093405,Education,0,"¬© 2015 Informa UK Limited, trading as Taylor & Francis Group.The aim of this article is to illustrate how Swedish schools construct different pedagogic identities in the way they marketize themselves. We examine through a Bernsteinian lens how upper secondary schools promote themselves; what identities are being called for by the schools and how these identities are expressed. Moreover, the article intends to study how these identities are reflected in studied school actors and how they can be understood in relation to the labour market. We have analysed texts from various kinds of marketing materials, including websites and prospectuses of the schools. The empirical data also include interviews with various school actors. In addition, we attended and recorded observations at open houses and school fairs. Our findings indicate a strong differentiated market-oriented education system, mediated not only through distinctions in courses and programmes, but also through schools creating highly specific niches and targeting specific students as valuable commodities.",British Journal of Sociology of Education,eng,SOC,LightOrange
MK/TH,OmisV,I cannot access the full text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84949087630,2015,Vulnerable Child. Youth Stud.,10,4,294,NA,Quality of life among refugee children in Malaysia – a brief report,10.1080/17450128.2015.1092624,Health (social science),0,"© 2015 Taylor & Francis. Most refugee children in Malaysia face an extremely difficult situation. This report is therefore aimed to explore the demographic variables that are relevant to the quality of life (QoL) among refugee children in Malaysia. A total of 89 refugee children were recruited from five refugee education centres. Children were asked to complete their demographic information on the Youth QoL – short form (YQoL-S), and the Multidimensional Students’ Life Satisfaction Scale (MSLSS). The results suggest that the main predictors of QoL were deported experience, level of education, and employment status among fathers of refugee children. Researchers, the government, and NGO programmers should work hand in hand to develop better policies to improve these indicators among refugee children.",Vulnerable Children and Youth Studies,eng,PSY SOC,LightOrange
SC/TH,oPaYn,There are no issues,4.18,4.18,Czech Republic,Neither,Empirical data - case study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",Yes - the statement says that there was funding from a public organization,"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research was supported by the Institutional Development Plan 2015 of the Faculty of Arts at Charles University in Prague",No - could not access article other than through paywall,85009740842,2016,New Media and Society,19,1,126,NA,Procedural religion: Methodological reflections on studying religion in video games,10.1177/1461444816649923,Communication,4,"¬© 2016, ¬© The Author(s) 2016. The article discusses the methodological aspects of studying religion in video games. It examines the concept of ‚Äúprocedural religion,‚Äù that is, the representations of religion via rule-systems in games, and investigates how we can formally analyze these representations. The article uses Petri Nets, a mathematical and a graphical tool for modeling, analyzing, and designing discrete event systems, in order to analyze how religion is represented in the rule-systems of two different mainstream video games‚ÄîAge of Empires II, developed in the United States, and Quraish, developed in Syria. By comparing the rule-systems of both games, the article provides empirical evidence on how game rule-systems migrate between cultures and influence local game production by providing local game developers with pre-defined formulas for expressing their ideas while simultaneously limiting the scope of such expression with schematized patterns. On a more general level, the article discusses what rule-system analysis can tell us about video games as cultural and religious artifacts.",New Media and Society,eng,SOC,LightOrange
SC/TH,OPTZt,There are no issues,0.364,0.342,United States of America,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84941750325,2015,J. Soc. Hist.,49,1,4,shv009,"Globalization, consumerism, and the emergence of teens in contemporary vietnam",10.1093/jsh/shv009,History,1,"¬© The Author 2015. Published by Oxford University Press. All rights reserved. The Doi Moi (reform) program enacted by the Vietnam Communist Party in 1986 marked the country's transition from a subsidy to a market economy and signalled profound changes in life experiences for Vietnamese youth. The government-owned media that once indoctrinated youth into the communist ideologies became increasingly dominated by private corporations and opened the door for the rapid influx of Western cultural influences. Through analysis of newspapers directed at Vietnamese youth between 1995 and 2005, this article traces the historical emergence of teen Viet and teen culture. The concept teen broke the continuous life trajectory into discrete stages and marked the shift from an ideologically grounded youth under the Vietnam Communist Party to a market-oriented youth whose individual identities are cultivated through capitalist consumption.",Journal of Social History,eng,AH SOC,LightOrange
TB/TH,oUjoJ,There are no issues,NA,NA,India,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84963852982,2016,J. Rural Dev.,35,1,39,NA,Impact of microcredit dispensation on economic empowerment of women in kerala,NA,Development,0,"Right from mid-eighties of the past century, microcredit has become a key strategy for poverty alleviation and empowerment of women in Kerala. Formation of Neighbourhood Groups (NHGs) and Self-help Groups (SHGs), and providing microcredit through all possible channels to the members of the groups have become a very popular poverty alleviation and women empowerment model in Kerala. Micro studies examining the intricacies of microcredit dispensation and its impact on the empowerment of women in Kerala are plenty. However, full-fledged macro studies examining the matter in depth are very few. The paper examines the impact of microcredit dispensation on the economic empowerment of women beneficiaries. The study finds that after joining the women groups and receiving microcredit, there is significant improvement in the economic situation of women in Kerala.",Journal of Rural Development,eng,SOC,LightOrange
SC/TH,OuopK,There are no issues,NA,NA,China,Human,Empirical data - survey,0,0,1,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84912022913,2015,Int. J. Hosp. Manage.,44,NA,38,NA,The effects of transaction-specific satisfactions and integrated satisfaction on customer loyalty,10.1016/j.ijhm.2014.10.004,"Tourism, Leisure and Hospitality Management",8,"¬© 2014 Elsevier Ltd.Integrated resorts provide different leisure services including casinos, hotels, food and beverage (F&B), and shopping. Tourists staying in an integrated resort would experience a wide range of transactional services. This study aims to investigate the relative influence of each transactional service on the level of integrated satisfaction within an integrated resort and their effects on customer loyalty. Partial least squares analysis is used to analyze the data collected from 601 tourists in Macau. The main findings are as follows: integrated satisfaction is influenced by transaction-specific satisfactions in different levels; integrated satisfaction has a strong direct influence on customer loyalty; and integrated satisfaction has a fully mediating effect on F&B satisfaction/customer loyalty, a partially mediating effects on hotel and casino satisfaction/customer loyalty, and a partially mediating and moderating effect on shopping satisfactions/customer loyalty.",International Journal of Hospitality Management,eng,BUS,LightOrange
TB/TH,oWDFZ,There are no issues,1.776,1.776,United Kingdom,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found via Open Access Button,84946433971,2016,J. Bank. Financ.,62,NA,62,NA,How does the market variance risk premium vary over time? Evidence from S and P 500 variance swap investment returns,10.1016/j.jbankfin.2015.10.006,Finance,2,"¬© 2015 Elsevier B.V.We explore whether the market variance risk premium (VRP) can be predicted. We measure VRP by distinguishing the investment horizon from the variance swap's maturity. We extract VRP from actual Sand P 500 variance swap quotes and we test four classes of predictive models. We find that the best performing model is the one that conditions on trading activity. This relation is also economically significant. Volatility trading strategies which condition on trading activity outperform popular benchmark strategies, even once we consider transaction costs. Our finding implies that broker dealers command a greater VRP to continue holding short positions in index options in the case where trading conditions deteriorate.",Journal of Banking and Finance,eng,ECON,LightOrange
SC/TH,owTME,There are no issues,NA,NA,United States of America,Human,Empirical data - laboratory study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"""Funding was received from the National Science Foundation Grant
SES-1626825.""",No - could not access article other than through paywall,85006914098,2017,Psychol. Rev.,124,1,1,NA,Associative judgment and vector space semantics,10.1037/rev0000047.supp,Psychology (all),0,"¬© 2017 American Psychological Association. I study associative processing in high-level judgment using vector space semantic models. I find that semantic relatedness, as quantified by these models, is able to provide a good measure of the associations involved in judgment, and, in turn, predict responses in a large number of existing and novel judgment tasks. My results shed light on the representations underlying judgment, and highlight the close relationship between these representations and those at play in language and in the assessment of word meaning. In doing so, they show how one of the best-known and most studied theories in decision making research can be formalized to make quantitative a priori predictions, and how this theory can be rigorously tested on a wide range of natural language judgment problems.",Psychological Review,eng,PSY,LightOrange
TB/TH,Oyheg,There are no issues,2.965,3.895,Germany,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84994667228,2017,Ecol. Econ.,131,NA,533,NA,Structured pluralism in ecological economics — A reply to Peter Söderbaum's commentary,10.1016/j.ecolecon.2016.08.022,Environmental Science (all),0,"¬© 2016 Elsevier B.V. Peter S√∂derbaum argues in his commentary, concerning my article on sustainability economics (Remig 2015), for more open and radical ecological economics. I agree with that statement. However, I reject S√∂derbaum's interpretation that my arguments foster mainstreamed ecological economics or dictatorship. In my critique of sustainability economics, I raised several issues that have remained unspecified and that potentially lead to unsustainable development patterns, once put into practice. S√∂derbaum does not reply to these conceptual challenges of sustainability economics. In this commentary, I argue that ‚Äústructured pluralism‚Äù (Dow, 2004) is a constituent element of ecological economics. I welcome Peter S√∂derbaum's proposal for a discussion about the definition of economics and suggest to rely on Ronald Coase's proposal to define economics as a science that studies the working of the economic system. I conclude that sustainability economics in its current form is closer to neoclassical than ecological economics.",Ecological Economics,eng,ECON,LightOrange
JW/TH,oYVPC,There are no issues,NA,NA,Saudi Arabia,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found via Open Access Button,85007010439,2017,Econ. Notes,46,1,117,NA,Financing Channels and Monetary Policy in a Dual Banking System: Evidence from Islamic Banks in Indonesia,10.1111/ecno.12076,Economics and Econometrics,0,"© 2016 Banca Monte dei Paschi di Siena SpA Using Indonesian Islamic banking data from 2003 to 2014, this article employs a panel regression methodology to investigate the responses of Islamic banks to changes in financing rates and monetary policy, which may differ depending on their characteristics. The results suggest that the financing rate has a negative impact on financing at Islamic banks, while bank-specific characteristics have a positive influence on it. The size and amount of capital have a greater impact than liquidity on financing at Islamic banks. However, changes in monetary policy are insignificant on bank financing, which implies that the transmission of monetary policy through the Islamic segment of the banking sector is weak. Furthermore, the weak impact of monetary policy on bank financing can be explained by the dramatic expansion of Islamic banks during the sample period, which contributed to a substantial increase in deposit growth and a high liquidity position.",Economic Notes,eng,ECON,LightOrange
TB/TH,PAzpE,There are no issues,1.156,0.981,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84900544108,2014,Third World Q.,35,3,513,NA,"Practical, critical and constructive engagement",10.1080/01436597.2014.893493,Development,0,NA,Third World Quarterly,eng,SOC,LightOrange
JW/TH,PBYqn,There are no issues,7.733,6.704,China,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"The research is supported in part by Hong Kong Research Grants Council General Research Funds PolyU#5492/10H and HKUST#641609, Hong Kong Polytechnic University Center for Leadership and Innovation (CLI) Research Fund 4-ZZ8G, and Hong Kong Polytechnic University Department Research Fund A-PK02.",Yes - found article via other means,84938354769,2015,J. Manage.,41,6,1698,NA,"What I See, What I Do: How Executive Hubris Affects Firm Innovation",10.1177/0149206312441211,Finance,16,"© 2012, © The Author(s) 2012.This study explores the potential benefits of executive hubris to firm innovation. Grounded in the upper echelons theory and the firm innovation literature, hypotheses were developed and tested in two studies with different contexts and methods. Study 1 uses a set of cross-sectional survey data on a large sample of Chinese CEOs in manufacturing industries. Study 2 uses a set of longitudinal archival data on U.S. public firms in high-tech industries. Both studies render robust support to the authors’ main theoretical prediction—that executive hubris is positively related to firm innovation. The authors further found that the main effect varies under certain environmental conditions: The relationship between executive hubris and firm innovation becomes weaker when the environment is more munificent and complex.",Journal of Management,eng,BUS ECON,LightOrange
