Timestamp,Coder initials:,Article ID:,Please flag any of the following issues that prevent you from coding this article:,How many times has the article been cited in a meta-analysis?,"How many times was the article cited *incidentally* in a meta-analysis (i.e., no intention to include in data synthesis)?",How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,"How many times was the article cited *incidentally* in a systematic review (i.e., no intention to include in formal review)?",How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",conflictType,Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,What is the 2017 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?
12/3/18,RT/TH,JKSfj,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found via Open Access Button,NA,NA,Switzerland,Human,Empirical data - survey/interview
12/3/18,RT/TH,gZSPj,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,Verbatim instructions for phonemic and semantic verbal fluency are presented in Appendix,Appendix within the present article,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,No potential conflict of interest was reported by the authors.,NA,Yes - the statement says that there was funding from a public organization(s),This work was funded by the Réseau québécois de recherche sur le vieillissement; the Canadian Institutes of Health Research (CIHR); the Alzheimer Society of Canada; the Natural Sciences and Engineering Research Council of Canada; the Fonds de Recherche du Québec – Santé (FRQ-S).,Yes - found article via other means,NA,NA,Canada,Human,Empirical data - field study
12/3/18,RT/TH,vfqeT,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,New Zealand,Human,Empirical data - clinical trial
12/3/18,RT/TH,NDRxG,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors report no conflicts of interest.,NA,Yes - the statement says that there was funding from a public organization(s),"This research project was sponsored by and supported by the International Science and Technology Cooperation Foundation of the Ministry of Science and Technology of China, (No.2008DFA31850), the International Cooperation of Science and Technique Foundation of Beijing (2007G05), the Beijing Chinese medicine projects (Grant no. JJ2005-17) and the National Natural Science Foundation of China (Grant no.81100862).",No - could not access article other than through paywall,NA,NA,China,Animal,Empirical data - laboratory study
12/3/18,RT/TH,KpSgu,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from both public and private organizations,"Research and this writing for this paper was generously supported by: the Berlin SSRC Program, the Fulbright IIE Fellowship, and the Simpson Center for the Humanities at the University of Washington.",No - could not access article other than through paywall,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
12/3/18,RT/TH,wsaSD,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,"The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",NA,Yes - the statement says that no funding was provided,"The author(s) received no financial support for the research, authorship, and/or publication of this article.",Yes - found via Open Access Button,NA,NA,The Netherlands,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
12/3/18,RT/TH,DOMZi,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
12/3/18,RT/TH,KrhmB,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,Canada,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
12/3/18,RT/TH,DFSse,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors declare that they have no conflict of interest.,NA,Yes - the statement says that there was funding from a public organization(s),"This study was supported by a grant from the Department of Defense Peer Review Medical Research Program of the Oﬃce of the Congressionally Directed Medical Research Programs, Grant Number W81XWH-05-2-0015",No - could not access article other than through paywall,NA,NA,United States of America,Human,Empirical data - clinical trial
12/3/18,RT/TH,TasFF,There are no issues,0,0,0,1,1,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),This work was supported by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2011-32A-G00028).,No - could not access article other than through paywall,2.442,1.737,South Korea,Human,Empirical data - clinical trial
12/3/18,RT/TH,OFcyi,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors report no financial or other relationship relevant to the subject of this article.,NA,Yes - the statement says that there was funding from a public organization(s),"This study was funded by the Queensland Department of Justice and Attorney-General (no grant number assigned). NH has received research grants from
Gambling Research Australia, the Queensland Government, NSW Government, South Australian Government, Victorian Government, Victorian Responsible Gambling Foundation, the Australian Communications and Media Authority, and the Alberta Gambling Research Institute. She has conducted unpublished consultancy work for Echo Entertainment, Singapore Pools, and Sportsbet. PV has received research grants from the Queensland Government. ML has received research grants from the Queensland Government.",Yes - found via Open Access Button,NA,NA,Australia,Human,Empirical data - survey/interview
12/3/18,RT/TH,lAaFj,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from both public and private organizations,"This research was supported by the Social Sciences and Humanities Research Council of Canada, by the Wharton Center for Leadership and Change Management, the Wharton Center for Human Resources and the Wharton Global Initiatives Research Program.",Yes - found article via other means,NA,NA,Canada,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
12/3/18,RT/TH,JtPcg,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found via Open Access Button,NA,NA,United Kingdom,Human,Empirical data - survey/interview
12/3/18,RT/TH,LKJFo,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,NA,No - there is no funding statement,none,Yes - found via Open Access Button,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
12/3/18,RT/TH,KCgJc,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,United Kingdom,Human,Empirical data - survey/interview
12/3/18,RT/TH,zPjsP,There are no issues,0,0,0,1,1,0,0,Yes - the statement says that the materials (or some of the materials) are available,"...197 undergraduates (112 females) were exposed to a vivid description of Cinnabon™ rolls (see Appendix A)...
...vivid description of a pizza (see Appendix A)...
...version that presented the nutritional value of the products (see Appendix A)....
he pallid version featured a black and white pic",Appendix within the present article,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found via Open Access Button,NA,NA,United States of America,Human,Empirical data - multiple study types are reported
12/3/18,RT/TH,JHvmp,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,The table of contents of the self-instructional manual is available from the author. The text of the method description used in this study is available from the authors,Upon request from the authors,No,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),This research was supported by Grant MOP-77604 from Canadian Institutes of Health Research.,Yes - found article via other means,NA,NA,Canada,Human,Empirical data - field study
12/3/18,RT/TH,rKyzt,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there are one or more conflicts of interest,"Dr. Axelrud, Dr. DeSousa, Dr. Manfro, Dr. Pan, Dr. Knackfuss, Dr. Mari, Dr. Miguel, and Dr. Salum report no biomedical financial interests or potential conflicts of interest. Dr. Rohde has received Honoraria, has been on the speakers’ bureau/advisory board, and/or has acted as a consultant for Eli-Lilly, Janssen-Cilag, Novartis, and Shire in the last 2 years. He receives authorship royalties from Oxford Press and ArtMed. He also received travel awards for taking part of 2014 APA and 2015 WFADHD meetings from Shire. The ADHD and Juvenile Bipolar Disorder Outpatient Programs chaired by him received unrestricted educational and research support from the following pharmaceutical companies in the last 3 years: Eli-Lilly, Janssen-Cilag, Novartis, and Shire.",Honoraria from industry; Travel or hospitality awards from industry; Served on industry advisory board; Consultancy for industry; Authorship/editorship royalties,Yes - the statement says that there was funding from a public organization(s),"This work was funded through research grants by the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq, Brazil), the Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES, Brazil), the Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP, Brazil), and the Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul (FAPERGS, Brazil). All of them are public institutions of the Brazilian government developed for scientific research support. Funding sources have no involvement in this study, including no role in data collection, analysis, and interpretation of the data.",Yes - found article via other means,NA,NA,Brazil,Human,Empirical data - survey/interview
12/11/18,RT/TH,ZLiGZ,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from both public and private organizations,"This study was made possible by grants from The Danish Council for Independent Research | Medical Sciences, The East Danish Research Foundation; Butcher Wørzner and Wife Inger Wørzner’s Memorial Grant in
Favour of Research in Mental Disorders; The Health Insurance Foundation; and Aase & Ejnar Danielsen’s Foundation",No - could not access article other than through paywall,NA,NA,Denmark,Human,Empirical data - clinical trial
12/11/18,RT/TH,bLgLo,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The authors declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article",NA,Yes - the statement says that no funding was provided,"The authors received no financial support for the research, authorship, and/or publication of this article.",Yes - found article via other means,NA,NA,United States of America,Neither,Empirical data - field study
12/11/18,RT/TH,cghVF,Article is not English language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
12/11/18,RT/TH,ewChj,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a private organization(s),"Funding was provided by the Children’s Trust, Massachusetts, Grant 5014.",No - could not access article other than through paywall,4.357,4.357,United States of America,Human,Empirical data - multiple study types are reported
12/11/18,RT/TH,THiGq,There are no issues,0,0,0,1,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,No potential conflict of interest was reported by the author(s).,NA,Yes - the statement says that there was funding from a public organization(s),This research was supported by the funds from the University of Canberra Honours Scholarship program awarded to Alexandra Voce,Yes - found article via other means,1.435,1.463,Australia,Human,Empirical data - laboratory study
12/11/18,RT/TH,drujP,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from both public and private organizations,"This project was funded by Middlebury College and the Vermont Genetics Network (INBRE grant number 2P20RR016462) from the INBRE Program of the National Center for Research Resources (NCRR), a component of the National Institutes of Health (NIH).",Yes - found via Open Access Button,NA,NA,United States of America,Animal,Empirical data - laboratory study
12/11/18,RT/TH,Egxjf,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),This research was funded by the Swiss National Science Foundation (grant number PZ00P1_131858).,Yes - found via Open Access Button,NA,NA,Switzerland,Human,Empirical data - survey/interview
12/11/18,RT/TH,Mlcdc,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"This project was supported by the National Center for Research Resources (Grant Number P20RR016456), the Louisiana Board of Regents Support Fund and NIH Grants AG032755 and AG010483.",Yes - found via Open Access Button,NA,NA,United States of America,Animal,Empirical data - laboratory study
12/11/18,RT/TH,WNWdU,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors declare no conflicts of interest,NA,Yes - the statement says that there was funding from a public organization(s),"The Ugandan AIDS Rural Treatment Outcomes study was funded by U.S. National Institutes of Health (NIH) R01 MH-054907, K23 MH-079713, K23 MH-079713-03S1, and P30 AI-027763. Dr. Kruse was supported by Grant T32HP12706-03-00 from the Health Resources and Services Administration for the Harvard General Medicine Fellowship and the Ryoichi Sasakawa Fellowship Fund. Dr. Bangsberg was funded by NIH Grant K24 MH87227. Dr. Haberer was funded by NIH Grant K23 087228. The funders of these grants had no role in study design, conduct, data analysis, interpretation, or manuscript preparation, review, or approval.",Yes - found via Open Access Button,NA,NA,United States of America,Human,Empirical data - survey/interview
12/11/18,RT/TH,wonlx,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,No conflict declared.,NA,Yes - the statement says that there was funding from a public organization(s),"There was no direct funding for this study. However, Dr. Pearson is supported by a career development grant (KO1-AA023233) from the National Institute on Alcohol Abuse and Alcoholism (NIAAA) and Dr. Bravo is supported by a training grant (T32-AA018108) from the NIAAA.",No - could not access article other than through paywall,NA,NA,United States of America,Human,Empirical data - survey/interview
12/11/18,RT/TH,CAgDW,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The authors declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",NA,Yes - the statement says that no funding was provided,"The authors received no financial support for the research, authorship, and/or publication of this article.",Yes - found article via other means,NA,NA,Japan,Human,Empirical data - laboratory study
12/11/18,RT/TH,CRGYP,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"""The authors declare that the research was conducted
in the absence of any commercial or financial relationships that could be
construed as a potential conflict of interest.""",NA,Yes - the statement says that there was funding from a public organization(s),"""This research was supported by grants U.S. National Institute on Alcohol Abuse and Alcoholism (AA010723, AA012388, AA017168).""",Yes - found via Open Access Button,NA,NA,United States of America,Human,Empirical data - laboratory study
12/11/18,RT/TH,gyYOp,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,United States of America,Human,Empirical data - survey/interview
12/11/18,RT/TH,Yvjoe,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,Switzerland,Human,Empirical data - survey/interview
12/11/18,RT/TH,BhbjS,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"""This research was funded by a grant to the authors from the Office of Naval Research (Grant No. N00014-13-1-0247)""",Yes - found via Open Access Button,NA,NA,United States of America,Human,Empirical data - laboratory study
12/11/18,RT/TH,gZlow,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there are one or more conflicts of interest,"Dr. Birmaher receives royalties for books from Random House, UpToDate and APA Press. Dr. Brent receives royalties from Guilford Press, royalties from the electronic self-rated version of the C-SSRS from ERT, Inc., and royalties from performing duties as an UptoDate Psychiatry Section Editor",Authorship/editorship royalties,Yes - the statement says that there was funding from both public and private organizations,"This work was supported in part by the National Institute of Mental Health
(NIMH) grants to Dr. Ladouceur (K01-MH083001), Dr. Brent (R01-MH66775, -MH65368, -MH56612 and -MH18951), Dr. Phillips (MH076971), Dr. Birmaher
(R01-MH60952) and Dr. Pan (K23-MH082884). The research was also supported by the American Foundation for Suicide Prevention and the Klingenstein Third Generation Foundation Fellowship for Adolescent Depression",Yes - found via Open Access Button,NA,NA,United States of America,Human,Empirical data - laboratory study
12/11/18,RT/TH,kzOjC,There are no issues,1,0,1,2,1,1,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,Yes - the statement says that there was a pre-registration,"All patients originally randomly assigned to active (Souvenaid) or control product who completed the 24-week, double-blind RCT (Dutch Trial Registration number NTR1975) were eligible to participate in the 24-week OLE study (Dutch Trial Registration number NTR2571)",Netherlands Trial Register,Yes,"Hypotheses, Methods",No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there are one or more conflicts of interest,Authors’ disclosures available online (http://www.jalz.com/disclosures/view.p p?id=2537).,"Consultancy for industry; Speaking fees from industry; Employed by industry; Industry equity holder; Authorship/editorship royalties; Served on industry advisory board; Research funding from industry; Ownership of relevant commercial products, patents, or procedures",Yes - the statement says that there was funding from a private organization(s),The sponsor also provided the study products and funding for the research and data collection. Authors’ disclosures available online http://www.jalz.com/disclosures/view.php?id=2537).,Yes - found article via other means,NA,NA,The Netherlands,Human,Empirical data - clinical trial
12/11/18,RT/TH,VhNJQ,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"""This research is supported by Humanity and Social Science Youth Foundation of Ministry of Education (13XJC190003), by the Fundamental Research Funds for the Central Universities (SWU1309259), and by the Doctoral Scientific Fund (SWU1209312) of Southwest University, China.""",No - could not access article other than through paywall,NA,NA,China,Human,Empirical data - survey/interview
12/11/18,RT/TH,NHxwV,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,Turkey,Human,Empirical data - survey/interview
12/11/18,RT/TH,IjkPk,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,All authors declare that they have no conflicts of interest.,NA,Yes - the statement identifies funding sources but the private/public status is unclear,Funding for this study was provided by a research award from the Ingestive Behaviors Research Center awarded to Tyler Hunt (Research Fellow).,No - could not access article other than through paywall,NA,NA,United States of America,Human,Empirical data - survey/interview
12/11/18,RT/TH,Vsbte,Article is not English language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.239,1.239,Germany,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
1/27/19,RT/TH,hCOKv,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,No - could not access article other than through paywall,NA,NA,Canada,Human,Empirical data - survey/interview
